ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal
EDU,C,2025-10-09,2025-10-10,53.654,2025-10-28,58.501,12,186,True,1029.36,10.31,69,MA10追踪出场,9984.56,ACCUMULATING
KODK,C,2025-10-10,2025-10-13,6.446,2025-11-04,5.989,16,1551,False,-713.83,-7.14,84,硬止损-7%,10003.43,ACCUMULATING
UNM,C,2025-10-15,2025-10-16,74.638,2025-11-06,76.241,15,133,False,208.11,2.1,108,横盘15天出场,9931.8,ACCUMULATING
KSS,C,2025-10-15,2025-10-16,14.955,2025-10-29,15.673,9,668,True,570.36,5.71,101,MA10追踪出场,9995.14,ACCUMULATING
LYG,C,2025-10-16,2025-10-17,4.387,2025-11-14,4.7,20,2279,True,841.16,8.41,111,MA10追踪出场,10002.84,ACCUMULATING
AWI,C,2025-10-17,2025-10-20,200.713,2025-11-06,186.477,13,49,False,-702.16,-7.14,75,硬止损-7%,9839.88,ACCUMULATING
BUD,C,2025-10-21,2025-10-22,61.742,2025-11-17,62.058,18,161,False,45.91,0.46,91,横盘18天出场,9945.38,WASHING
WBD,C,2025-10-22,2025-10-23,21.021,2025-11-24,22.837,22,475,True,988.19,9.89,67,MA10追踪出场,9989.97,ACCUMULATING
BAP,C,2025-10-29,2025-10-30,262.462,2025-11-14,243.846,11,38,False,-712.06,-7.14,114,硬止损-7%,9978.55,ACCUMULATING
FMX,C,2025-10-30,2025-10-31,94.444,2025-11-21,94.735,15,105,False,25.56,0.26,123,横盘15天出场,9921.61,ACCUMULATING
JHX,C,2025-10-30,2025-10-31,20.911,2025-11-05,19.428,3,478,False,-713.62,-7.14,114,硬止损-7%,10000.4,ACCUMULATING
TWLO,C,2025-10-30,2025-10-31,126.977,2025-11-18,117.97,12,78,False,-707.11,-7.14,96,硬止损-7%,9909.15,ACCUMULATING
ARCO,C,2025-10-31,2025-11-03,6.977,2025-11-24,7.032,15,1433,False,73.5,0.73,87,横盘15天出场,10002.9,ACCUMULATING
CM,C,2025-10-31,2025-11-03,82.224,2025-11-24,83.289,15,121,False,123.74,1.24,68,横盘15天出场,9954.11,ACCUMULATING
SATS,C,2025-11-03,2025-11-04,73.393,2025-11-07,68.188,3,136,False,-712.62,-7.14,112,硬止损-7%,9986.48,ACCUMULATING
TDS,C,2025-11-04,2025-11-05,39.562,2025-11-07,36.756,2,252,False,-711.77,-7.14,83,硬止损-7%,9974.57,WASHING
MSGE,C,2025-11-05,2025-11-06,44.264,2025-11-14,45.954,6,225,True,622.91,6.25,110,MA10追踪出场,9964.43,ACCUMULATING
APP,C,2025-11-05,2025-11-06,652.121,2025-11-07,605.866,1,15,False,-698.37,-7.14,88,硬止损-7%,9786.71,ACCUMULATING
DQ,C,2025-11-06,2025-11-07,30.851,2025-11-12,32.118,3,324,True,738.96,7.39,75,MA10追踪出场,10000.66,ACCUMULATING
QSR,C,2025-11-06,2025-11-07,67.035,2025-12-17,68.903,27,149,False,273.25,2.73,60,横盘27天出场,9993.17,ACCUMULATING
JMIA,C,2025-11-10,2025-11-11,11.431,2025-11-12,10.621,1,874,False,-713.31,-7.14,99,硬止损-7%,9996.06,ACCUMULATING
AEO,C,2025-11-11,2025-11-12,17.598,2025-12-24,26.325,29,568,True,3644.89,36.45,122,MA10追踪出场,10000.75,ACCUMULATING
BAP,C,2025-11-12,2025-11-13,262.432,2025-11-14,243.818,1,38,False,-711.98,-7.14,95,硬止损-7%,9977.41,ACCUMULATING
SA,C,2025-11-14,2025-11-17,23.443,2025-12-15,28.511,19,426,True,1903.37,19.05,96,MA10追踪出场,9991.89,ACCUMULATING
PB,C,2025-11-14,2025-11-17,65.648,2026-01-15,72.376,40,152,False,1017.18,10.19,84,持仓40天强制出场,9983.5,WASHING
ESE,C,2025-11-14,2025-11-17,220.68,2025-12-01,205.027,9,45,False,-708.99,-7.14,63,硬止损-7%,9935.56,ACCUMULATING
QSR,C,2025-11-20,2025-11-21,67.32,2025-12-16,69.168,16,148,False,268.41,2.69,94,横盘16天出场,9968.34,ACCUMULATING
KOF,C,2025-11-24,2025-11-25,87.427,2026-01-26,105.684,40,114,True,1797.14,18.02,106,持仓40天强制出场,9971.7,ACCUMULATING
TV,C,2025-11-24,2025-11-25,2.773,2025-12-19,2.917,17,3606,True,719.16,7.19,103,MA10追踪出场,10003.61,ACCUMULATING
SUPV,C,2025-11-24,2025-11-25,9.55,2025-12-08,10.579,8,1047,True,1184.04,11.84,79,MA10追踪出场,10003.37,ACCUMULATING
VIST,C,2025-11-25,2025-11-26,48.448,2025-12-11,49.87,10,206,True,414.7,4.15,114,MA10追踪出场,9985.36,ACCUMULATING
REXR,C,2025-11-26,2025-11-28,40.857,2025-12-19,40.141,15,244,False,-179.45,-1.8,79,横盘15天出场,9973.98,ACCUMULATING
PLG,C,2025-11-28,2025-12-01,2.513,2025-12-02,2.334,1,3980,False,-713.93,-7.14,71,硬止损-7%,10004.79,ACCUMULATING
WAL,C,2025-12-01,2025-12-02,82.302,2025-12-30,84.166,19,121,False,220.47,2.21,76,横盘19天出场,9963.48,WASHING
BBAR,C,2025-12-01,2025-12-02,16.194,2025-12-31,17.961,20,617,True,1157.83,11.58,72,MA10追踪出场,9996.75,ACCUMULATING
KVUE,C,2025-12-03,2025-12-04,16.774,2025-12-26,16.978,15,596,False,116.24,1.16,114,横盘15天出场,10002.49,ACCUMULATING
DFNS,C,2025-12-04,2025-12-05,7.207,2025-12-08,6.696,1,1387,False,-713.69,-7.14,75,硬止损-7%,10001.38,WASHING
QTWO,C,2025-12-05,2025-12-08,73.854,2025-12-30,73.367,15,135,False,-70.73,-0.71,103,横盘15天出场,9975.25,ACCUMULATING
EA,C,2025-12-05,2025-12-08,204.141,2025-12-30,203.953,15,48,False,-13.93,-0.14,72,横盘15天出场,9803.67,ACCUMULATING
UEC,C,2025-12-05,2025-12-08,13.814,2025-12-10,12.834,2,723,False,-713.04,-7.14,70,硬止损-7%,9992.37,ACCUMULATING
TPB,C,2025-12-08,2025-12-09,101.167,2026-01-06,103.01,18,98,False,175.62,1.77,68,横盘18天出场,9919.3,ACCUMULATING
JKS,C,2025-12-09,2025-12-10,25.315,2025-12-29,26.823,12,395,True,630.86,6.31,110,MA10追踪出场,10004.54,ACCUMULATING
CCJ,C,2025-12-09,2025-12-10,93.113,2025-12-17,86.509,5,107,False,-711.31,-7.14,93,硬止损-7%,9968.07,ACCUMULATING
GHC,C,2025-12-10,2025-12-11,1114.438,2026-01-05,1112.072,15,8,False,-23.38,-0.26,100,横盘15天出场,8919.96,ACCUMULATING
WTTR,C,2025-12-12,2025-12-15,10.818,2025-12-16,10.051,1,924,False,-713.64,-7.14,68,硬止损-7%,10000.71,WASHING
JEF,C,2025-12-12,2025-12-15,62.107,2026-01-08,60.535,16,161,False,-257.93,-2.58,66,横盘16天出场,10004.16,ACCUMULATING
RIG,C,2025-12-15,2025-12-16,4.004,2026-02-13,6.533,40,2497,True,4674.79,46.73,105,持仓40天强制出场,10002.99,ACCUMULATING
EA,C,2025-12-19,2025-12-22,204.201,2026-01-14,203.803,15,48,False,-24.0,-0.24,71,横盘15天出场,9806.55,ACCUMULATING
ITGR,C,2025-12-22,2025-12-23,79.049,2026-02-20,84.765,39,126,True,783.26,7.86,104,MA21追踪出场,9965.15,ACCUMULATING
JKS,C,2025-12-23,2025-12-24,27.117,2026-01-20,27.144,16,368,True,347.11,3.48,101,成本止损,9984.08,ACCUMULATING
USNA,C,2025-12-24,2025-12-26,20.01,2026-01-28,21.349,21,499,True,806.86,8.08,84,MA10追踪出场,9989.98,WASHING
BW,C,2026-01-02,2026-01-05,6.376,2026-01-07,5.924,2,1568,False,-713.81,-7.14,92,硬止损-7%,10003.15,ACCUMULATING
BTE,C,2026-01-02,2026-01-05,3.3,2026-01-07,3.066,2,3030,False,-713.9,-7.14,75,硬止损-7%,10004.37,ACCUMULATING
INTC,C,2026-01-05,2026-01-06,39.9,2026-01-23,45.025,12,250,True,1315.42,13.18,116,MA10追踪出场,9979.95,ACCUMULATING
PUMP,C,2026-01-05,2026-01-06,9.9,2026-01-08,9.198,2,1010,False,-713.87,-7.14,114,硬止损-7%,10003.89,ACCUMULATING
RHP,C,2026-01-05,2026-01-06,92.441,2026-01-28,92.157,15,108,False,-35.57,-0.36,111,横盘15天出场,9988.58,ACCUMULATING
WWW,C,2026-01-06,2026-01-07,17.748,2026-01-29,17.336,15,563,False,-237.26,-2.37,120,横盘15天出场,9997.35,ACCUMULATING
PAGS,C,2026-01-06,2026-01-07,9.81,2026-02-03,11.329,18,1019,True,1403.16,14.03,118,MA10追踪出场,10001.18,ACCUMULATING
SUPV,C,2026-01-06,2026-01-07,11.782,2026-01-14,10.946,5,848,False,-713.3,-7.14,116,硬止损-7%,9995.94,ACCUMULATING
MOH,C,2026-01-07,2026-01-08,177.748,2026-01-27,183.936,12,56,True,660.77,6.64,116,MA10追踪出场,9958.84,ACCUMULATING
TREX,C,2026-01-07,2026-01-08,36.667,2026-01-23,42.507,10,272,True,1502.04,15.05,115,MA10追踪出场,9978.31,ACCUMULATING
NOK,C,2026-01-07,2026-01-08,6.607,2026-01-29,6.138,14,1513,False,-713.64,-7.14,113,硬止损-7%,10000.78,ACCUMULATING
STX,C,2026-01-08,2026-01-09,284.458,2026-02-05,404.339,18,35,True,3268.07,32.81,119,MA10追踪出场,9961.02,ACCUMULATING
BX,C,2026-01-08,2026-01-09,154.214,2026-01-29,143.275,13,64,False,-704.64,-7.14,118,硬止损-7%,9874.6,ACCUMULATING
NAK,C,2026-01-08,2026-01-09,2.162,2026-01-13,2.009,2,4625,False,-713.94,-7.14,116,硬止损-7%,10004.99,ACCUMULATING
DXCM,C,2026-01-09,2026-01-12,66.807,2026-02-02,72.457,14,149,True,904.57,9.08,126,MA10追踪出场,9959.18,ACCUMULATING
QCOM,C,2026-01-09,2026-01-12,174.933,2026-01-14,162.525,2,57,False,-711.89,-7.14,123,硬止损-7%,9976.15,ACCUMULATING
SHOP,C,2026-01-09,2026-01-12,162.694,2026-01-20,151.154,5,61,False,-708.54,-7.14,114,硬止损-7%,9929.27,ACCUMULATING
CLF,C,2026-01-12,2026-01-13,13.173,2026-01-26,14.006,8,759,True,707.63,7.07,120,MA10追踪出场,10003.43,ACCUMULATING
