rank,stop_loss,partial_sell,stale_early,stale_force,trail_ma,trail_ma_late,max_hold,sideways_thr,min_score,yellow_score,min_green,use_atr,atr_mult,use_ratchet,ratchet_pct,grace_days,grace_mult,group,trades,win_rate,wl_ratio,pf,total_pnl,avg_pnl_pct,max_dd_streak,avg_days,partial_rate
56,-0.11,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.4,2.86,70406.0,3.87,3,12.8,30.4
57,-0.11,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.4,2.86,70304.0,3.87,3,12.9,30.4
58,-0.15,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.38,2.84,70115.0,3.86,3,15.1,30.4
59,-0.15,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.38,2.84,70115.0,3.86,3,15.1,30.4
60,-0.15,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.38,2.84,70013.0,3.85,3,15.3,30.4
61,-0.15,0.25,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,47.8,3.09,2.83,81072.0,4.46,4,22.5,21.7
62,-0.15,0.25,15,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,47.8,3.08,2.82,80555.0,4.43,4,22.6,21.7
63,-0.11,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.37,2.82,68738.0,3.78,3,12.6,34.8
64,-0.11,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.36,2.81,68477.0,3.77,3,12.3,34.8
65,-0.15,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.35,2.79,68447.0,3.77,3,15.0,34.8
66,-0.15,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.34,2.79,68186.0,3.76,3,14.7,34.8
67,-0.11,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.34,2.79,67591.0,3.72,3,13.0,26.1
68,-0.14,0.2,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.78,2.78,67194.0,3.7,4,15.6,19.6
69,-0.13,0.12,10,25,5,15,60,0.015,60,105,7,False,-,False,-,0,-,FINE_ST,46,47.8,3.03,2.78,68890.0,3.79,4,17.6,32.6
70,-0.14,0.18,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.54,2.77,65883.0,3.62,3,15.4,21.7
71,-0.11,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.32,2.77,66864.0,3.68,3,13.2,26.1
72,-0.15,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.32,2.76,67300.0,3.7,3,15.4,26.1
73,-0.15,0.12,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.29,2.76,68082.0,3.74,4,17.3,30.4
74,-0.14,0.2,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.76,2.76,66562.0,3.66,4,15.6,19.6
75,-0.15,0.12,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.28,2.76,67980.0,3.74,4,17.5,30.4
76,-0.14,0.18,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.52,2.75,65363.0,3.6,3,15.5,21.7
77,-0.1,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.31,2.75,68897.0,3.79,3,12.7,30.4
78,-0.1,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.31,2.75,68795.0,3.78,3,12.8,30.4
79,-0.15,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.31,2.75,66574.0,3.66,3,15.5,26.1
80,-0.15,0.1,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.26,2.74,67298.0,3.7,4,16.8,37.0
81,-0.09,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.3,2.74,68750.0,3.78,3,12.2,30.4
82,-0.09,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.3,2.74,68648.0,3.78,3,12.4,30.4
83,-0.15,0.1,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.26,2.73,67036.0,3.69,4,16.6,37.0
