ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
600881.SH,111,6,20250808,20250812,1.944,20250827,2.036,11,20500,True,2658.64,6.67,MA10追踪出场
000795.SZ,111,7,20250811,20250815,11.794,20250904,10.946,14,3300,False,-2832.82,-7.27,硬止损-9%
600206.SH,122,7,20250812,20250813,19.539,20250904,20.539,16,2000,True,2287.61,5.85,MA10追踪出场
300541.SZ,100,7,20250813,20250815,16.643,20250904,15.447,14,2400,False,-2907.43,-7.27,硬止损-9%
301571.SZ,106,6,20250813,20250818,49.9,20250904,46.314,13,800,False,-2905.68,-7.27,硬止损-9%
603995.SH,116,6,20250814,20250815,18.176,20250905,17.954,15,2200,False,-528.47,-1.32,横盘15天出场
300127.SZ,110,6,20250814,20250818,31.814,20250902,31.813,11,1200,True,752.44,1.97,成本止损
300323.SZ,108,6,20250814,20250815,7.846,20250829,9.082,10,5000,True,5513.16,14.04,MA10追踪出场
603738.SH,126,7,20250815,20250818,15.972,20250903,14.824,12,2500,False,-2906.41,-7.27,硬止损-9%
000676.SZ,111,7,20250815,20250818,9.158,20250903,10.768,12,4300,True,5621.08,14.26,MA10追踪出场
300663.SZ,113,7,20250818,20250819,20.11,20250903,18.665,11,1900,False,-2781.18,-7.27,硬止损-9%
300925.SZ,110,7,20250818,20250821,25.341,20250902,23.52,8,1500,False,-2766.74,-7.27,硬止损-9%
002152.SZ,119,6,20250818,20250819,14.118,20250904,13.104,12,2800,False,-2877.38,-7.27,硬止损-9%
000905.SZ,115,6,20250819,20250821,8.577,20250911,8.713,15,4600,False,582.85,1.48,横盘15天出场
300072.SZ,115,6,20250819,20250821,3.747,20250915,3.832,17,10600,False,858.68,2.16,横盘17天出场
000555.SZ,113,7,20250820,20250821,14.028,20250902,14.162,8,2800,True,1724.78,4.39,MA10追踪出场
601222.SH,111,7,20250820,20250825,6.012,20250916,6.178,16,6600,False,1052.32,2.65,横盘16天出场
600817.SH,110,6,20250820,20250826,12.786,20250828,11.867,2,3100,False,-2884.97,-7.27,硬止损-9%
300129.SZ,125,7,20250821,20250825,7.816,20250902,7.254,6,5100,False,-2901.3,-7.27,硬止损-9%
002093.SZ,114,7,20250821,20250826,13.307,20250902,12.35,5,3000,False,-2905.68,-7.27,硬止损-9%
300737.SZ,111,7,20250821,20250825,5.591,20250828,5.189,3,7100,False,-2889.49,-7.27,硬止损-9%
600390.SH,113,6,20250827,20250828,6.583,20250903,6.11,4,6000,False,-2875.05,-7.27,硬止损-9%
002612.SZ,121,7,20250829,20250901,18.687,20250923,17.344,16,2100,False,-2856.45,-7.27,硬止损-9%
601975.SH,106,6,20250901,20250904,3.066,20250918,3.224,10,13000,True,2261.78,5.67,MA10追踪出场
600478.SH,120,7,20250902,20250904,6.162,20250918,6.427,10,6400,True,2281.83,5.78,MA10追踪出场
000987.SZ,112,7,20250911,20250917,7.735,20250923,7.18,4,5100,False,-2871.55,-7.27,硬止损-9%
002226.SZ,115,6,20250917,20250918,6.593,20251017,6.547,15,6000,False,-316.96,-0.8,横盘15天出场
301179.SZ,118,6,20251009,20251010,18.086,20251017,16.786,5,2200,False,-2896.2,-7.27,硬止损-9%
