ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
000848.SZ,20251111,9.03,99,5,16,25,8,8,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.109,0.0068,🟢 信号确认,0,8.94,8.9,0.7389
000420.SZ,20251111,4.27,94,5,20,21,11,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0426,0.0118,🟢 信号确认,0,4.27,4.27,0.5507
002073.SZ,20251111,8.95,86,5,18,18,7,8,15,8,12,WASHING,🟡 底部洗盘,-0.0361,-0.0045,🟢 信号确认,0,8.79,8.91,0.7385
300303.SZ,20251111,6.82,83,4,12,18,11,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0293,0.0104,🟢 信号确认,0,6.8,6.73,0.5233
601010.SH,20251111,2.79,82,4,20,9,6,15,15,5,12,WASHING,🟡 底部洗盘,-0.0145,0.0,🟢 信号确认,0,2.72,2.69,0.6632
601968.SH,20251111,5.64,64,4,16,6,25,2,10,15,12,ACCUMULATING,🔥 主力吸筹,-0.01,0.0446,🟢 接近,1,5.39,5.52,0.9811
688692.SH,20251111,261.08,88,3,10,25,25,10,6,0,12,ACCUMULATING,🔥 主力吸筹,-0.0924,0.0921,🟢 信号确认,0,265.77,270.26,0.3738
002445.SZ,20251111,2.66,74,3,10,12,9,8,15,8,12,WASHING,🟡 底部洗盘,-0.0149,-0.0038,🟢 接近,1,2.63,2.63,0.709
688429.SH,20251113,16.51,113,7,16,25,18,15,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0809,0.0274,🟢 信号确认,0,16.12,16.29,0.6997
300755.SZ,20251113,20.35,105,7,16,18,21,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0299,0.0242,🟢 信号确认,0,19.91,20.14,0.6098
000420.SZ,20251113,4.29,102,6,20,21,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0483,0.0118,🟢 信号确认,0,4.27,4.27,0.5668
600058.SH,20251113,9.69,93,6,16,18,8,15,12,12,12,ACCUMULATING,🔥 主力吸筹,-0.0357,0.0064,🟢 信号确认,0,9.45,9.72,0.676
301047.SZ,20251113,76.23,95,5,12,25,8,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0719,0.0093,🟢 信号确认,0,74.84,73.8,0.6942
688032.SH,20251113,114.41,86,5,16,21,6,8,15,8,12,WASHING,🟡 底部洗盘,-0.06,0.0,🟢 信号确认,0,111.79,112.24,0.7236
002840.SZ,20251113,11.23,82,5,14,15,6,15,12,8,12,WASHING,🟡 底部洗盘,-0.0183,0.0,🟢 信号确认,0,11.13,11.24,0.5993
002304.SZ,20251113,70.39,91,4,18,12,14,15,15,5,12,ACCUMULATING,🔥 主力吸筹,-0.0147,0.0057,🟢 信号确认,0,70.15,69.95,0.5758
300045.SZ,20251113,23.23,85,4,20,25,11,10,12,-5,12,ACCUMULATING,🔥 主力吸筹,-0.128,0.0197,🟢 信号确认,0,23.33,23.48,0.4827
002099.SZ,20251113,6.31,84,4,20,9,12,8,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0121,0.0114,🟢 信号确认,0,6.19,6.29,0.7256
301628.SZ,20251113,92.1,80,3,12,12,9,15,15,5,12,ACCUMULATING,🔥 主力吸筹,-0.0217,0.0052,🟢 信号确认,0,90.96,91.9,0.6412
300244.SZ,20251113,16.58,74,3,10,15,6,8,15,8,12,WASHING,🟡 底部洗盘,-0.0248,-0.0049,🟢 接近,1,16.24,16.41,0.7183
300161.SZ,20251113,29.15,65,2,10,21,17,4,6,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0465,0.0196,🟢 接近,1,30.13,30.13,0.2292
600058.SH,20251114,9.59,97,6,20,18,8,15,12,12,12,ACCUMULATING,🔥 主力吸筹,-0.0357,0.0064,🟢 信号确认,0,9.45,9.66,0.5817
300244.SZ,20251114,16.45,85,6,14,18,6,15,12,8,12,WASHING,🟡 底部洗盘,-0.0258,0.0,🟢 信号确认,0,16.32,16.49,0.6006
603107.SH,20251114,16.04,84,5,18,9,7,15,15,8,12,WASHING,🟡 底部洗盘,-0.0092,-0.0031,🟢 信号确认,0,15.93,15.98,0.6871
002840.SZ,20251114,11.32,89,4,18,15,6,8,15,15,12,WASHING,🟡 底部洗盘,-0.0217,0.0036,🟢 信号确认,0,11.17,11.24,0.717
603043.SH,20251114,17.17,87,4,18,12,12,15,10,8,12,ACCUMULATING,🔥 主力吸筹,-0.0104,0.0119,🟢 信号确认,0,16.97,16.02,0.6936
603053.SH,20251114,10.92,85,4,18,6,21,8,15,5,12,ACCUMULATING,🔥 主力吸筹,-0.0081,0.0268,🟢 信号确认,0,10.72,10.72,0.7044
002099.SZ,20251114,6.3,84,4,20,9,12,8,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0121,0.0114,🟢 信号确认,0,6.19,6.29,0.7145
603198.SH,20251114,42.92,83,4,20,12,6,15,10,8,12,WASHING,🟡 底部洗盘,-0.0097,0.0,🟢 信号确认,0,42.39,40.54,0.5863
300053.SZ,20251114,14.2,77,4,12,12,6,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0165,0.005,🟢 信号确认,0,14.0,14.29,0.5665
301589.SZ,20251114,173.39,74,4,10,21,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0428,-0.0002,🟢 接近,1,171.76,173.14,0.6266
300109.SZ,20251114,18.26,70,4,16,9,6,15,12,0,12,ACCUMULATING,🔥 主力吸筹,-0.0106,0.005,🟢 接近,1,18.0,18.44,0.6043
